1,3,2,nperrelle0,KzzxfazQ1,2018-09-26 12:43:08
2,2,2,gleeke1,2o7sgMoi,2019-04-24 16:17:11
3,2,2,bhartley2,maEe2tcuxbz,2018-09-05 14:16:38
4,2,1,cthick3,hJH6BNO,2018-12-06 04:53:55
5,3,1,jnorkutt4,zNscL2MoQlD,2018-06-22 15:10:05
6,2,1,jkearn5,cFCpzEt8w0J,2019-04-14 19:54:35
7,2,1,lgayforth6,jqqEHQAq,2018-11-12 01:53:26
8,3,1,etittershill7,BSczWKfwvi,2018-12-05 00:35:16
9,3,2,erambaut8,6vkw2oJt,2019-03-29 05:40:54
10,3,1,mmaciaszczyk9,Yiji1HS4cjE,2018-11-04 18:48:10
11,3,1,hhattricka,UaJtoab,2018-09-11 15:35:16
12,3,1,csnodingb,nZrCbZgcx,2019-04-20 15:33:56
13,2,1,iziemsc,KEBpyH9D,2018-10-20 22:45:08
14,3,1,mhuned,JCLfjE4iQs8j,2019-03-13 23:32:51
15,3,2,bclewarthe,y2zgK82ojN,2019-04-19 05:08:56
16,2,2,jbeatonf,nxvxU9,2019-01-15 12:40:19
17,3,1,lsmetoung,bXyMru,2019-03-05 05:32:24
18,3,1,jjoliffeh,5lQdQFo,2019-01-05 14:39:24
19,3,2,freolfoi,J1MLTip9i9y1,2018-06-30 15:23:55
20,2,2,mridgesj,lYxirddl,2019-01-28 17:46:14
21,2,1,agirkek,C4LRCx,2018-11-24 22:21:23
22,2,1,lbuckaml,qUx05CYwh,2019-05-14 21:10:06
23,2,2,msnyderm,fx35C1vlG8,2018-11-17 19:16:11
24,3,1,ctallynn,bQ1jjBe,2018-10-21 08:58:39
25,3,1,aatteridgeo,dVOeB8,2019-05-20 16:35:12
26,3,2,bpregalp,YQQNXUaHo,2018-10-03 17:07:37
27,3,1,smaskellq,eBhcHqUh,2019-05-04 20:37:02
28,2,2,sdavidovicsr,sR6qOPn,2018-07-05 10:32:27
29,3,1,spatrons,YvQmhtxg6,2019-01-07 15:54:27
30,3,2,howbrickt,UUQUpXx,2019-02-14 23:35:39
31,2,2,wroskamsu,Rr4Aq721g,2018-11-23 21:54:04
32,2,1,heastopev,SpWEcjycB,2018-11-18 21:23:29
33,3,2,acanniffew,6o5G530a,2019-05-22 12:16:10
34,2,1,bfaersx,PuzGrUokO2,2019-04-03 07:17:37
35,3,2,tpozzoy,wnAw9SfL4,2018-08-21 23:44:02
36,2,1,kbauerz,jlgLlR2BSZ5,2018-10-02 20:55:45
37,2,1,pkinlock10,zN3mX45,2019-05-23 11:19:57
38,2,1,gmolan11,pa6PgS,2019-04-15 05:02:06
39,3,1,mgeockle12,WC911XG,2018-06-10 12:16:42
40,2,2,cfeares13,wN4jqf9,2018-12-15 03:15:35
41,3,2,tjenton14,zU9FRQJUp,2019-02-14 20:37:12
42,3,2,ttotterdell15,Rv2iMQRi,2018-06-10 08:24:42
43,3,1,jandresen16,99cSEs,2019-03-08 15:47:02
